StateX,Populat_ion,AreaInSqKm,dEnsityPerSqKm
Uttar Pradesh,199812341,240928,828
Maharashtra,112374333,307713,365
Bihar,104099452,94163,1102
West Bengal,91276115,88752,1029
Jharkhand,32988134,79714,414
Assam,31205576,78438,397
